,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2500,2900,3390,3500,3600,3800,3850,3900,3950,3990,4000,4100,4200,4250,4299,4300,4390,4399,4400,4450,4490,4500,4600,4690,4700,4750,4790,4799,4800,4890,4900,4950,4990,4999,5000,5100,5199,5200,5250,5290,5300,5399,5400,5450,5490,5499,5500,5550,5600,5699,5700,5790,5799,5800,5850,5880,5900,5950,5990,5999,6000,6100,6190,6200,6250,6290,6300,6350,6400,6450,6490,6499,6500,6599,6600,6699,6700,6790,6799,6800,6890,6900,6950,6990,6999,7000,7100,7190,7200,7300,7350,7380,7390,7400,7450,7479,7480,7490,7495,7500,7590,7600,7699,7700,7790,7799,7800,7885,7900,7950,7990,7999,8000,8100,8190,8200,8250,8290,8300,8350,8390,8399,8400,8450,8490,8499,8500,8579,8580,8600,8650,8700,8750,8790,8799,8800,8850,8890,8899,8900,8950,8979,8980,8990,8999,9000,9100,9190,9200,9290,9299,9300,9390,9400,9435,9450,9480,9490,9499,9500,9550,9590,9600,9690,9699,9700,9750,9780,9790,9800,9840,9850,9879,9890,9899,9900,9950,9970,9979,9980,9990,9999,10000,10050,10100,10180,10200,10250,10279,10280,10300,10350,10390,10399,10400,10450,10465,10470,10490,10499,10500,10550,10590,10600,10640,10650,10670,10690,10700,10750,10790,10800,10850,10870,10890,10900,10950,10990,10999,11000,11090,11100,Grand Total
Sum of ID,961,1331,269,929,936,1116,1488,4648,2712,2276,2776,1511,3,457,1300,1367,258,600,2610,539,3694,12354,3975,429,1533,1532,2032,82,3954,41,10352,28,2059,1693,3567,1818,1463,4957,17,1494,4920,188,3444,2330,3234,1449,16494,1270,2889,4757,5209,1156,779,11206,580,1404,13614,739,5193,1829,3689,926,875,2576,2487,590,5626,363,3418,2807,4736,1721,20220,431,1660,658,3433,1249,1309,9990,941,22271,1425,3932,3785,2351,3863,962,735,7843,1163,966,899,8888,11887,1153,1178,4012,774,23018,603,3329,1043,1259,1910,1223,10202,1061,23516,6159,8803,1111,9293,509,870,2929,3794,333,4060,475,263,940,4188,3002,1182,3256,27936,362,401,4321,6274,5393,6346,100,1185,9926,471,1467,502,57964,150,1481,12088,11955,1549,4425,4201,238,1687,645,1167,8482,428,61644,231,4130,578,8684,3009,27501,3205,2795,7162,1297,1152,19510,709,2358,4331,23576,617,5063,2089,9159,607,51807,7325,13017,374,8252,16319,11447,13507,1072,4020,4327,14271,1493,153,346,7903,3767,880,923,13068,3433,95,1831,9729,1933,53291,824,427,5637,29,1325,192,1909,11359,7,1359,36590,7139,730,1211,46626,9835,6925,5386,5556,647,676,1183491
